property,value
standardversion,
identifier,ANO CPUR/АНО ЦПУР
title,
description,"Ежедневные и ежемесячные сведения о валютных курсах в России за период с 1924 по 2021 г.  Публикуются на официальном сайте Банка России. В ходе подготовки датасета сведения были спарсены и преобразованы в панельные данные в машиночитаемом формате.
Единица наблюдения в датасете — курс иностранной валюты по отношению к российскому (советскому) рублю за конкретный день. Данные для каждого наблюдения приведены по следующим атрибутам: дата, цифровой и буквенный коды валюты (по стандарту ISO 4217), наименование валюты и значение курса в конкретный день.
Набор доступен для работы в формате CSV (кодировка: «UTF-8», разделитель: «;»)."
creator,Банк России
created,
modified,
subject,
format,"CSV (кодировка: «UTF-8», разделитель: «;»)"
provenance,
valid,
publishername,Гостева Инесса Игоревна
publisherphone,
publishermbox,i.gosteva@cpur.ru
data,
structure,
